sample_1,sample_2,identical,n
BRZ_1262,PNS_792,0.86,1486
BRZ_1262,PNS_793,0.84,1486
BRZ_1262,PNS_794,0.84,1486
BRZ_1262,PNS_795,0.67,1486
BRZ_1262,PNS_796,0.87,1486
BRZ_1262,PNS_797,0.87,1486
BRZ_1262,PNS_798,0.86,1486
BRZ_1262,PNS_799,0.87,1486
BRZ_1262,PNS_800,0.84,1486
BRZ_1262,PNS_801,0.88,1486
BRZ_1262,PNS_802,0.86,1486
BRZ_1262,PNS_803,0.86,1486
BRZ_1262,PNS_808,0.86,1486
BRZ_1262,PNS_809,0.86,1486
BRZ_1262,PNS_810,0.86,1486
BRZ_1262,PNS_811,0.87,1486
BRZ_1262,PNS_812,0.86,1486
BRZ_1262,PNS_813,0.86,1486
BRZ_1262,PNS_814,0.87,1486
BRZ_1262,PNS_815,0.86,1486
BRZ_1262,PNS_817,0.6,1169
BRZ_1262,PNS_818,0.87,1486
BRZ_1262,PNS_819,0.86,1486
BRZ_1262,PNS_821,0.83,1486
BRZ_1262,PNS_822,0.65,1486
BRZ_1262,PNS_823,0.86,1486
BRZ_1262,PNS_824,0.62,1237
BRZ_1262,PNS_825,0.63,1432
BRZ_1262,PNS_826,0.87,1486
BRZ_1262,PNS_827,0.86,1486
BRZ_1262,PNS_828,0.6,1068
BRZ_1262,PNS_829,0.86,1486
BRZ_1262,PNS_830,0.86,1486
BRZ_1262,PNS_831,0.87,1486
BRZ_1262,PNS_833,0.74,1486
BRZ_1262,PR_1038,0.85,1486
BRZ_1262,PR_1040,0.63,1265
BRZ_1262,PR_1041,0.65,1463
BRZ_1262,PR_1042,0.76,1486
BRZ_1262,PR_1043,0.85,1486
BRZ_1262,PR_1046,0.55,498
BRZ_1262,PR_1047,0.85,1486
BRZ_1262,PR_1050,0.85,1486
BRZ_1262,PR_1051,0.85,1486
BRZ_1262,PR_1052,0.86,1486
BRZ_1262,PR_1053,0.86,1486
BRZ_1262,PR_1054,0.66,1486
BRZ_1262,PR_1055,0.76,1486
BRZ_1262,PR_1056,0.85,1486
BRZ_1262,PR_1057,0.86,1486
BRZ_1262,PR_1058,0.76,1486
BRZ_1262,PR_1060,0.87,1486
BRZ_1262,PR_1061,0.82,1486
BRZ_1262,PR_1062,0.86,1486
BRZ_1262,PR_1063,0.66,1486
BRZ_1262,PR_945,0.86,1486
BRZ_1262,PR_946,0.68,1405
BRZ_1262,PR_947,0.63,1239
BRZ_1262,PR_948,0.64,618
BRZ_1262,PR_949,0.68,1486
BRZ_1262,PR_950,0.86,1486
BRZ_1262,PR_951,0.71,1486
BRZ_1262,PR_952,0.87,1486
BRZ_1262,PR_953,0.78,1486
BRZ_1262,PR_954,0.85,1486
BRZ_1262,PR_955,0.78,1486
BRZ_1262,PR_957,0.86,1486
BRZ_1262,PR_958,0.81,1486
BRZ_1262,PR_960,0.83,1486
BRZ_1262,PR_961,0.86,1486
BRZ_1262,PR_963,0.83,1486
BRZ_1262,PR_964,0.86,1486
BRZ_1262,PR_965,0.76,1486
BRZ_1262,PR_966,0.86,1486
BRZ_1262,PR_967,0.88,1486
BRZ_1262,PR_968,0.85,1486
BRZ_1262,PR_971,0.86,1486
BRZ_1262,PR_972,0.71,445
BRZ_1262,PR_973,0.65,589
BRZ_1262,PR_974,0.62,1363
BRZ_1262,PR_975,0.87,1486
BRZ_1262,PR_976,0.86,1486
BRZ_1262,PR_977,0.86,1486
BRZ_1262,PR_979,0.86,1486
BRZ_1262,SCA_1195,0.83,1486
BRZ_1262,SCA_1196,0.86,1486
BRZ_1262,SCA_1197,0.85,1486
BRZ_1262,SCA_1198,0.87,1486
BRZ_1262,SCA_1199,0.87,1486
